1	merkazit_krayot	1	-1.#IND	1.#INF	1.00006	0	0.0166667	-1.#IND	-1.#IND	1	0	0	0	-1.#IND	89.9983	-1.#IND	0	
1	merkazit_krayot	3	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
3	tzur_shalom	1	180.04	5.25842	59.7004	0	0	0.829764	0.295224	0.885714	0.114286	0	0	0	0	0	0	
4	ein_afek	1	180.107	5.25842	198.665	0	0	2.6693	0.295224	0	1	0	0	0	0	0	0	
5	zvulon	1	179.865	5.25842	417.642	0	0	9.12642	0.295224	0	1	0	0	0	0	0	0	
6	kiryon	1	179.873	5.25842	732.922	0	0	8.66575	0.295224	0	1	0	0	0	0	0	0	
7	haasor	1	179.833	5.25842	1112.92	0	0	9.50634	0.295224	0	1	0	0	0	0	0	0	
8	efraim	1	179.858	5.25842	1584.6	0	0	9.52257	0.295224	0	1	0	0	0	0	0	0	
9	goshen	1	180.006	5.25842	2135.56	0	0	16.0213	0.295224	0	1	0	0	0	0	0	0	
10	kiryat_haim	1	179.828	5.21267	2764.8	0	0	17.5571	0.351285	0	1	0	0	0	0	0	0	
10	kiryat_haim	2	299.423	5.24101	3184.99	0	0	34.0016	0.380292	0	1	0	0	0	0	0	0	
11	ben_zvi	1	179.81	5.21267	3503.23	0	0	17.4554	0.351285	0	1	0	0	0	0	0	0	
11	ben_zvi	2	299.418	5.24101	4031.39	0	0	34.0731	0.380292	0	1	0	0	0	0	0	0	
12	mote_gur	1	179.991	5.21267	4308.1	0	0	18.9255	0.351285	0	1	0	0	0	0	0	0	
12	mote_gur	2	299.499	5.24101	4957.5	0	0	34.2177	0.380292	0	1	0	0	0	0	0	0	
13	shenkar	1	180.214	5.36992	5188.65	0	0	23.7692	0.491001	0	1	0	0	0	0	0	0	
13	shenkar	2	299.596	5.24101	5970.93	0	0	35.5684	0.380292	0	1	0	0	0	0	0	0	
13	shenkar	3	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
14	hutzot_hamifratz	1	180.291	5.36992	6158.85	0	0	25.7327	0.491001	0	1	0	0	0	0	0	0	
14	hutzot_hamifratz	2	299.447	5.26826	7084.61	0	0	37.7729	0.396548	0	1	0	0	0	0	0	0	
14	hutzot_hamifratz	3	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
15	batei_zikuk	1	180.392	5.33093	7206.55	0	0	26.3709	0.466856	0	1	0	0	0	0	0	0	
15	batei_zikuk	2	299.524	5.26574	8290	0	0	42.9291	0.392217	0	1	0	0	0	0	0	0	
15	batei_zikuk	3	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
16	lev_hamifratz	1	180.103	5.33093	8321.15	0	0	22.1317	0.466856	0	1	0	0	0	0	0	0	
16	lev_hamifratz	2	299.57	5.26826	9572.92	0	0	43.0778	0.396548	0	1	0	0	0	0	0	0	
16	lev_hamifratz	3	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
17	merkazit_hamifratz	1	180.593	5.33093	9542.8	0	0	30.9081	0.466856	0	1	0	0	0	0	0	0	
17	merkazit_hamifratz	2	299.408	5.34964	10983.1	0	0	47.2	0.501207	0	1	0	0	0	0	0	0	
17	merkazit_hamifratz	3	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
18	gesher_paz	1	180.608	5.29347	10821	0	0	30.4432	0.421129	0	1	0	0	0	0	0	0	
18	gesher_paz	2	299.326	5.26826	12451.8	0	0	47.0782	0.396548	0	1	0	0	0	0	0	0	
18	gesher_paz	3	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
19	tzaizel	1	180.612	5.28896	12226.3	0	0	29.9594	0.418363	0	1	0	0	0	0	0	0	
19	tzaizel	2	299.22	5.26826	14060.9	0	0	47.4752	0.396548	0	1	0	0	0	0	0	0	
20	mate_hamishtara	1	180.452	5.28966	13715.9	0	0	29.4839	0.41602	0	1	0	0	0	0	0	0	
20	mate_hamishtara	2	299.301	5.34964	15766.3	0	0	47.1482	0.501207	0	1	0	0	0	0	0	0	
21	hatahanot_hagdolot	1	180.522	5.25098	15280.7	0	0	29.5611	0.416869	0	1	0	0	0	0	0	0	
21	hatahanot_hagdolot	2	299.34	5.34964	17559.7	0	0	46.9966	0.501207	0	1	0	0	0	0	0	0	
22	palyam	1	180.309	5.28675	16908.4	0	0	29.9425	0.417624	0	1	0	0	0	0	0	0	
22	palyam	2	299.227	5.34964	19426.8	0	0	46.1957	0.501207	0	1	0	0	0	0	0	0	
23	carmelit_eliyahu	1	179.785	5.28675	18649	0	0	33.8994	0.417624	0	1	0	0	0	0	0	0	
23	carmelit_eliyahu	2	299.363	5.34964	21422.1	0	0	47.1637	0.501207	0	1	0	0	0	0	0	0	
24	rakevet_merkaz	1	179.821	5.24894	20470.7	0	0	33.7466	0.410497	0	1	0	0	0	0	0	0	
24	rakevet_merkaz	2	299.285	5.34964	23507.8	0	0	47.8652	0.501207	0	1	0	0	0	0	0	0	
25	ben_gurion	1	179.771	5.24844	22379.6	0	0	33.0692	0.356164	0	1	0	0	0	0	0	0	
25	ben_gurion	2	299.438	5.34964	25692.8	0	0	47.8226	0.501207	0	1	0	0	0	0	0	0	
26	moshava_germanit	1	179.752	5.24579	24378.2	0	0	33.2358	0.351473	0	1	0	0	0	0	0	0	
26	moshava_germanit	2	299.395	5.34146	27979.4	0	0	47.9863	0.493123	0	1	0	0	0	0	0	0	
27	hameginim	1	179.786	5.21267	26461.8	0	0	33.0556	0.351285	0	1	0	0	0	0	0	0	
27	hameginim	2	299.463	5.34964	30363.2	0	0	48.0894	0.501207	0	1	0	0	0	0	0	0	
28	lin	1	179.967	5.21267	28624.8	0	0	33.021	0.351285	0	1	0	0	0	0	0	0	
